match_id,team_iso3,player_name,appearance_role,shirt_number,position_label,lineup_slot,minute_in,minute_out,minutes_played,is_captain,is_goalkeeper,data_source_name,data_quality_score
M001,MEX,Brian Gutiérrez,starter,26,CM-R,8,0,66,,false,false,ESPN public summary API,82
M001,MEX,César Montes,starter,3,CD-R,5,0,,,false,false,ESPN public summary API,82
M001,MEX,Israel Reyes,starter,15,RB,2,0,,,false,false,ESPN public summary API,82
M001,MEX,Jesús Gallardo,starter,23,LB,3,0,,,false,false,ESPN public summary API,82
M001,MEX,Johan Vásquez,starter,5,CD-L,6,0,,,false,false,ESPN public summary API,82
M001,MEX,Julián Quiñones,starter,16,LM,11,0,79,,false,false,ESPN public summary API,82
M001,MEX,Raúl Jiménez,starter,9,F,9,0,76,,false,false,ESPN public summary API,82
M001,MEX,Raúl Rangel,starter,1,G,1,0,,,false,false,ESPN public summary API,82
M001,MEX,Roberto Alvarado,starter,25,RM,7,0,,,false,false,ESPN public summary API,82
M001,MEX,Álvaro Fidalgo,starter,8,CM-L,10,0,66,,false,false,ESPN public summary API,82
M001,MEX,Érik Lira,starter,6,DM,4,0,76,,false,false,ESPN public summary API,82
M001,MEX,Alexis Vega,bench,10,SUB,0,79,,,false,false,ESPN public summary API,82
M001,MEX,Armando González,bench,14,SUB,0,76,,,false,false,ESPN public summary API,82
M001,MEX,Carlos Acevedo,unused,12,SUB,0,,,,false,false,ESPN public summary API,82
M001,MEX,César Huerta,unused,21,SUB,0,,,,false,false,ESPN public summary API,82
M001,MEX,Edson Álvarez,bench,4,SUB,0,76,,,false,false,ESPN public summary API,82
M001,MEX,Gilberto Mora,bench,19,SUB,0,66,,,false,false,ESPN public summary API,82
M001,MEX,Guillermo Martínez,unused,22,SUB,0,,,,false,false,ESPN public summary API,82
M001,MEX,Guillermo Ochoa,unused,13,SUB,0,,,,false,false,ESPN public summary API,82
M001,MEX,Jorge Sánchez,unused,2,SUB,0,,,,false,false,ESPN public summary API,82
M001,MEX,Luis Chávez,bench,24,SUB,0,66,,,false,false,ESPN public summary API,82
M001,MEX,Luis Romo,unused,7,SUB,0,,,,false,false,ESPN public summary API,82
M001,MEX,Mateo Chávez,unused,20,SUB,0,,,,false,false,ESPN public summary API,82
M001,MEX,Obed Vargas,unused,18,SUB,0,,,,false,false,ESPN public summary API,82
M001,MEX,Orbelín Pineda,unused,17,SUB,0,,,,false,false,ESPN public summary API,82
M001,MEX,Santiago Gimenez,unused,11,SUB,0,,,,false,false,ESPN public summary API,82
M001,ZAF,Aubrey Modiba,starter,6,LB,3,0,77,,false,false,ESPN public summary API,82
M001,ZAF,Ime Okon,starter,21,CD,5,0,,,false,false,ESPN public summary API,82
M001,ZAF,Iqraam Rayners,starter,15,CF-R,10,0,76,,false,false,ESPN public summary API,82
M001,ZAF,Jayden Adams,starter,23,CM-L,11,0,61,,false,false,ESPN public summary API,82
M001,ZAF,Khuliso Mudau,starter,20,RB,2,0,,,false,false,ESPN public summary API,82
M001,ZAF,Lyle Foster,starter,9,CF-L,9,0,56,,false,false,ESPN public summary API,82
M001,ZAF,Mbekezeli Mbokazi,starter,14,CD-L,4,0,,,false,false,ESPN public summary API,82
M001,ZAF,Nkosinathi Sibisi,starter,19,CD-R,6,0,,,false,false,ESPN public summary API,82
M001,ZAF,Ronwen Williams,starter,1,G,1,0,,,false,false,ESPN public summary API,82
M001,ZAF,Sphephelo Sithole,starter,13,CM,8,0,,,false,false,ESPN public summary API,82
M001,ZAF,Teboho Mokoena,starter,4,CM-R,7,0,,,false,false,ESPN public summary API,82
M001,ZAF,Bradley Cross,unused,26,SUB,0,,,,false,false,ESPN public summary API,82
M001,ZAF,Evidence Makgopa,bench,17,SUB,0,76,,,false,false,ESPN public summary API,82
M001,ZAF,Kamogelo Sebelebele,unused,25,SUB,0,,,,false,false,ESPN public summary API,82
M001,ZAF,Khulumani Ndamane,unused,3,SUB,0,,,,false,false,ESPN public summary API,82
M001,ZAF,Olwethu Makhanya,unused,24,SUB,0,,,,false,false,ESPN public summary API,82
M001,ZAF,Oswin Appollis,bench,7,SUB,0,77,,,false,false,ESPN public summary API,82
M001,ZAF,Relebohile Mofokeng,unused,10,SUB,0,,,,false,false,ESPN public summary API,82
M001,ZAF,Ricardo Goss,unused,22,SUB,0,,,,false,false,ESPN public summary API,82
M001,ZAF,Samukele Kabini,unused,18,SUB,0,,,,false,false,ESPN public summary API,82
M001,ZAF,Sipho Chaine,unused,16,SUB,0,,,,false,false,ESPN public summary API,82
M001,ZAF,Thabang Matuludi,unused,2,SUB,0,,,,false,false,ESPN public summary API,82
M001,ZAF,Thalente Mbatha,bench,5,SUB,0,56,,,false,false,ESPN public summary API,82
M001,ZAF,Thapelo Maseko,unused,12,SUB,0,,,,false,false,ESPN public summary API,82
M001,ZAF,Themba Zwane,bench,11,SUB,0,61,,,false,false,ESPN public summary API,82
M001,ZAF,Tshepang Moremi,unused,8,SUB,0,,,,false,false,ESPN public summary API,82
M002,CZE,Alexandr Sojka,starter,24,CM-L,8,0,84,,false,false,ESPN public summary API,82
M002,CZE,Jaroslav Zelený,starter,20,LM,3,0,,,false,false,ESPN public summary API,82
M002,CZE,Ladislav Krejcí,starter,7,CD-L,4,0,,,false,false,ESPN public summary API,82
M002,CZE,Lukás Provod,starter,17,CF-R,10,0,64,,false,false,ESPN public summary API,82
M002,CZE,Matej Kovár,starter,1,G,1,0,,,false,false,ESPN public summary API,82
M002,CZE,Patrik Schick,starter,10,F,9,0,64,,false,false,ESPN public summary API,82
M002,CZE,Pavel Sulc,starter,15,CF-L,11,0,64,,false,false,ESPN public summary API,82
M002,CZE,Robin Hranác,starter,4,CD,5,0,,,false,false,ESPN public summary API,82
M002,CZE,Stepán Chaloupek,starter,6,CD-R,6,0,,,false,false,ESPN public summary API,82
M002,CZE,Tomás Soucek,starter,22,CM-R,7,0,,,false,false,ESPN public summary API,82
M002,CZE,Vladimír Coufal,starter,5,RM,2,0,,,false,false,ESPN public summary API,82
M002,CZE,Adam Hlozek,bench,9,SUB,0,64,,,false,false,ESPN public summary API,82
M002,CZE,David Doudera,unused,21,SUB,0,,,,false,false,ESPN public summary API,82
M002,CZE,David Jurásek,unused,14,SUB,0,,,,false,false,ESPN public summary API,82
M002,CZE,David Zima,unused,2,SUB,0,,,,false,false,ESPN public summary API,82
M002,CZE,Denis Visinský,unused,26,SUB,0,,,,false,false,ESPN public summary API,82
M002,CZE,Hugo Sochurek,unused,25,SUB,0,,,,false,false,ESPN public summary API,82
M002,CZE,Jan Kuchta,unused,11,SUB,0,,,,false,false,ESPN public summary API,82
M002,CZE,Jindrich Stanek,unused,16,SUB,0,,,,false,false,ESPN public summary API,82
M002,CZE,Lukás Cerv,unused,12,SUB,0,,,,false,false,ESPN public summary API,82
M002,CZE,Lukás Hornícek,unused,23,SUB,0,,,,false,false,ESPN public summary API,82
M002,CZE,Michal Sadílek,bench,18,SUB,0,64,,,false,false,ESPN public summary API,82
M002,CZE,Mojmír Chytil,bench,13,SUB,0,84,,,false,false,ESPN public summary API,82
M002,CZE,Tomás Chorý,bench,19,SUB,0,64,,,false,false,ESPN public summary API,82
