iso3,fifa_ranking_position,fifa_ranking_points,elo_rating,recent_matches_played,recent_wins,recent_draws,recent_losses,recent_goals_for,recent_goals_against,basic_form_score,team_strength_score,data_source_name,last_updated_at,data_quality_score
MEX,,,,,,,,,,,50,licensed_provider_placeholder,,0
ZAF,,,,,,,,,,,50,licensed_provider_placeholder,,0
CAN,,,,,,,,,,,50,licensed_provider_placeholder,,0
BIH,,,,,,,,,,,50,licensed_provider_placeholder,,0
USA,,,,,,,,,,,50,licensed_provider_placeholder,,0
PRY,,,,,,,,,,,50,licensed_provider_placeholder,,0
BRA,,,,,,,,,,,50,licensed_provider_placeholder,,0
MAR,,,,,,,,,,,50,licensed_provider_placeholder,,0
CUW,,,,,,,,,,,50,licensed_provider_placeholder,,0
DEU,,,,,,,,,,,50,licensed_provider_placeholder,,0
ENG,,,,,,,,,,,50,licensed_provider_placeholder,,0
HRV,,,,,,,,,,,50,licensed_provider_placeholder,,0
